2022-05-16 17:05:406 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:605 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:481 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:527 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:702 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:381 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:02 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:767 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:905 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:542 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:273 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:266 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:994 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:355 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 10:05:381 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 10:05:158 INFO  HomePage :49 - click on computer link[[ChromeDriver: chrome on WINDOWS (2f188217089de4593dc428a56edbfb08)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-17 10:05:209 INFO  ComputerPage :50 - verify the computer text[[ChromeDriver: chrome on WINDOWS (2f188217089de4593dc428a56edbfb08)] -> xpath: //h1[contains(text(),'Computers')]]
2022-05-17 10:05:251 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 10:05:389 INFO  HomePage :49 - click on computer link[[ChromeDriver: chrome on WINDOWS (2372be5508a837fe898a956fad06ed5b)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-17 10:05:845 INFO  ComputerPage :37 - click on desktop teb[[ChromeDriver: chrome on WINDOWS (2372be5508a837fe898a956fad06ed5b)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]/a[1]]
2022-05-17 10:05:869 INFO  DesktopsPage :40 - verify the desktop text[[ChromeDriver: chrome on WINDOWS (2372be5508a837fe898a956fad06ed5b)] -> xpath: //h1[contains(text(),'Desktops')]]
2022-05-17 10:05:908 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 10:05:692 INFO  HomePage :49 - click on computer link[[ChromeDriver: chrome on WINDOWS (16baeacccf93310fbe4c32a632d6775c)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-17 10:05:167 INFO  ComputerPage :37 - click on desktop teb[[ChromeDriver: chrome on WINDOWS (16baeacccf93310fbe4c32a632d6775c)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]/a[1]]
2022-05-17 10:05:332 INFO  BuildYourOwnComputerPage :47 - build yout own computer[[ChromeDriver: chrome on WINDOWS (16baeacccf93310fbe4c32a632d6775c)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/h2[1]/a[1]]
2022-05-17 10:05:532 INFO  BuildYourOwnComputerPage :52 - procecces drop down menu[[ChromeDriver: chrome on WINDOWS (16baeacccf93310fbe4c32a632d6775c)] -> xpath: //select[@id='product_attribute_1']]
2022-05-17 10:05:684 INFO  BuildYourOwnComputerPage :57 - ramradio button[[ChromeDriver: chrome on WINDOWS (16baeacccf93310fbe4c32a632d6775c)] -> xpath: //select[@id='product_attribute_2']]
2022-05-17 10:05:932 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 10:05:16 INFO  HomePage :49 - click on computer link[[ChromeDriver: chrome on WINDOWS (99c153c661c83de2bc991cf38a9611e2)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-17 10:05:692 INFO  ComputerPage :37 - click on desktop teb[[ChromeDriver: chrome on WINDOWS (99c153c661c83de2bc991cf38a9611e2)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]/a[1]]
2022-05-17 10:05:750 INFO  BuildYourOwnComputerPage :47 - build yout own computer[[ChromeDriver: chrome on WINDOWS (99c153c661c83de2bc991cf38a9611e2)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/h2[1]/a[1]]
2022-05-17 10:05:954 INFO  BuildYourOwnComputerPage :52 - procecces drop down menu[[ChromeDriver: chrome on WINDOWS (99c153c661c83de2bc991cf38a9611e2)] -> xpath: //select[@id='product_attribute_1']]
2022-05-17 10:05:87 INFO  BuildYourOwnComputerPage :57 - ramradio button[[ChromeDriver: chrome on WINDOWS (99c153c661c83de2bc991cf38a9611e2)] -> xpath: //select[@id='product_attribute_2']]
2022-05-17 10:05:272 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 10:05:211 INFO  HomePage :49 - click on computer link[[ChromeDriver: chrome on WINDOWS (0017898d584abdf1dd01c94bbcb60bbb)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-17 10:05:896 INFO  ComputerPage :37 - click on desktop teb[[ChromeDriver: chrome on WINDOWS (0017898d584abdf1dd01c94bbcb60bbb)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]/a[1]]
2022-05-17 10:05:213 INFO  BuildYourOwnComputerPage :47 - build yout own computer[[ChromeDriver: chrome on WINDOWS (0017898d584abdf1dd01c94bbcb60bbb)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/h2[1]/a[1]]
2022-05-17 10:05:408 INFO  BuildYourOwnComputerPage :52 - procecces drop down menu[[ChromeDriver: chrome on WINDOWS (0017898d584abdf1dd01c94bbcb60bbb)] -> xpath: //select[@id='product_attribute_1']]
2022-05-17 10:05:544 INFO  BuildYourOwnComputerPage :57 - ramradio button[[ChromeDriver: chrome on WINDOWS (0017898d584abdf1dd01c94bbcb60bbb)] -> xpath: //select[@id='product_attribute_2']]
2022-05-17 10:05:706 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 10:05:416 INFO  LoginPage :44 - click on login link[[ChromeDriver: chrome on WINDOWS (d78629b25538589db2b26437c681eb77)] -> xpath: //a[contains(text(),'Log in')]]
2022-05-17 10:05:456 INFO  LoginPage :64 - verify the welcometext on login page[[ChromeDriver: chrome on WINDOWS (d78629b25538589db2b26437c681eb77)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-17 10:05:513 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 10:05:623 INFO  LoginPage :44 - click on login link[[ChromeDriver: chrome on WINDOWS (e33debfe28ed397e782105e624be043b)] -> xpath: //a[contains(text(),'Log in')]]
2022-05-17 10:05:913 INFO  LoginPage :49 - enter email id[[ChromeDriver: chrome on WINDOWS (e33debfe28ed397e782105e624be043b)] -> xpath: //input[@id='Email']]
2022-05-17 10:05:95 INFO  LoginPage :54 - enter passowrd[[ChromeDriver: chrome on WINDOWS (e33debfe28ed397e782105e624be043b)] -> id: Password]
2022-05-17 10:05:802 INFO  LoginPage :59 - click on login button[[ChromeDriver: chrome on WINDOWS (e33debfe28ed397e782105e624be043b)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 10:05:854 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 10:05:195 INFO  LoginPage :44 - click on login link[[ChromeDriver: chrome on WINDOWS (e5f0c58eebad12cdb5a41982b070a8f0)] -> xpath: //a[contains(text(),'Log in')]]
2022-05-17 10:05:386 INFO  LoginPage :49 - enter email id[[ChromeDriver: chrome on WINDOWS (e5f0c58eebad12cdb5a41982b070a8f0)] -> xpath: //input[@id='Email']]
2022-05-17 10:05:535 INFO  LoginPage :54 - enter passowrd[[ChromeDriver: chrome on WINDOWS (e5f0c58eebad12cdb5a41982b070a8f0)] -> id: Password]
2022-05-17 10:05:154 INFO  LoginPage :59 - click on login button[[ChromeDriver: chrome on WINDOWS (e5f0c58eebad12cdb5a41982b070a8f0)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 10:05:191 INFO  LoginPage :64 - verify the welcometext on login page[[ChromeDriver: chrome on WINDOWS (e5f0c58eebad12cdb5a41982b070a8f0)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-17 10:05:259 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 10:05:169 INFO  LoginPage :44 - click on login link[[ChromeDriver: chrome on WINDOWS (f9a04846d491f966c88871055ba59c1f)] -> xpath: //a[contains(text(),'Log in')]]
2022-05-17 10:05:423 INFO  LoginPage :49 - enter email id[[ChromeDriver: chrome on WINDOWS (f9a04846d491f966c88871055ba59c1f)] -> xpath: //input[@id='Email']]
2022-05-17 10:05:597 INFO  LoginPage :54 - enter passowrd[[ChromeDriver: chrome on WINDOWS (f9a04846d491f966c88871055ba59c1f)] -> id: Password]
2022-05-17 10:05:268 INFO  LoginPage :59 - click on login button[[ChromeDriver: chrome on WINDOWS (f9a04846d491f966c88871055ba59c1f)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 10:05:314 INFO  LoginPage :64 - verify the welcometext on login page[[ChromeDriver: chrome on WINDOWS (f9a04846d491f966c88871055ba59c1f)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-17 10:05:438 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 10:05:653 INFO  RegisterPage :80 - click on register link[[ChromeDriver: chrome on WINDOWS (bef55255f5e904ca737e674cd3be2450)] -> xpath: //a[contains(text(),'Register')]]
2022-05-17 10:05:669 INFO  RegisterPage :178 - verify the register text on refister page[[ChromeDriver: chrome on WINDOWS (bef55255f5e904ca737e674cd3be2450)] -> xpath: //h1[contains(text(),'Register')]]
2022-05-17 10:05:701 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 10:05:508 INFO  RegisterPage :80 - click on register link[[ChromeDriver: chrome on WINDOWS (10b40f57f3bf804bd00d8204e324a248)] -> xpath: //a[contains(text(),'Register')]]
2022-05-17 10:05:562 INFO  RegisterPage :147 - click on register button[[ChromeDriver: chrome on WINDOWS (10b40f57f3bf804bd00d8204e324a248)] -> xpath: //h1[contains(text(),'Register')]]
